value,sqft,lotSize,year
745557,	2010,	8480,	1962
671884,	1570,	8480,	1962
677768,	1600,	8480,	1962
891146,	2100,	10300,	1962
890899,	2800,	8800,	1962
1262820,	3930,	11034,	2000
1303545,	4660,	10298,	1999
1109270,	4318,	8790,	2003
991289,	3008,	8782,	2001
985735,	3190,	7409,	2001
752739,	2660,	10715,	1968
747912,	2690,	8934,	1968
750865,	2640,	9040,	1968
741286,	2560,	9214,	1968
693232,	1750,	8083,	1968
726184,	2250,	8755,	1969
743571,	2450,	8910,	1969
747504,	2480,	8800,	1976
675726,	1590,	8175,	1974
719319,	1990,	8210,	1976
598238,	1360,	7500,	1956
536724,	1040,	7300,	1967
707796,	2240,	7500,	1962
577911,	1420,	7350,	1967
656267,	2200,	7600,	1957
767334,	2760,	7200,	1957
726996,	2468,	7200,	1957
939357,	3300,	8659,	2012
719439,	1890,	7938,	1974
726184,	2250,	8155,	1969
739008,	2400,	8910,	1969
747504,	2480,	8800,	1976
849439,	3140,	9855,	1978
744544,	2320,	8245,	1972
719319,	1900,	7930,	1976
983183,	3590,	10160,	2005
725446,	2600,	8300,	1956
566757,	1420,	7004,	1956
828472,	2530,	9050,	1958
725686,	2605,	8350,	1958